SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
MTDR,USA,0,2025-04-22,,,,7.482,11.755,73,44.54%,40.98%  (  +1.03%),66.14%,"60,206",9,5,5,85
HST,USA,0,2025-04-30,,,,5.090,8.707,"1,919",31.06%,29.28%  (  +2.11%),58.17%,"44,459",9,4,4,79
MGM,USA,0,2025-04-30,,,,6.554,11.606,"2,648",39.55%,45.62%  (  +2.34%),77.07%,"194,236",9,5,5,85
ATI,USA,0,2025-04-29,,,,9.845,12.761,128,39.58%,45.93%  (  +3.45%),59.15%,"9,339",9,5,5,85
QCOM,USA,0,2025-05-07,,,,7.159,0.000,"6,354",33.10%,42.84%  (  +3.82%),63.26%,"480,757",9,4,4,85
VRTX,USA,0,2025-05-05,,,,4.643,0.000,500,20.79%,30.39%  (  +3.49%),36.06%,"34,693",5,4,4,75
TECH,USA,0,2025-05-07,,,,9.431,0.000,4,35.89%,47.90%  (  +4.85%),78.89%,"1,293",8,4,4,88
AUR,USA,0,2025-05-14,,,,20.103,0.000,"1,582",86.00%,97.60%  (  +1.90%),38.65%,"159,594",7,4,4,70
SYK,USA,0,2025-04-29,,,,6.065,7.599,224,18.94%,26.84%  (  +2.18%),68.97%,"25,157",5,5,5,90
PCOR,USA,0,2025-05-07,,,,12.021,0.000,330,42.42%,50.24%  (  -0.67%),62.13%,"19,692",8,5,5,75
IP,USA,0,2025-04-24,,,,4.634,7.038,475,38.52%,32.93%  (  +1.72%),46.81%,"78,278",10,4,4,75
PYPL,USA,0,2025-04-29,,,,8.805,10.966,"32,182",32.66%,44.26%  (  +4.32%),70.49%,"1,129,367",6,4,4,80
BRKR,USA,0,2025-05-01,,,,9.189,0.000,43,35.37%,54.09%  (  +4.15%),84.67%,"4,959",8,5,4,75
MET,USA,0,2025-05-07,,,,3.572,0.000,"2,696",30.97%,28.73%  (  +0.80%),70.30%,"154,646",9,5,5,85
JCI,Ireland,0,2025-05-07,,,,6.318,0.000,96,28.58%,32.93%  (  +0.83%),86.02%,"78,573",4,4,4,85
FLEX,Singapore,0,2025-05-07,,,,9.654,0.000,138,42.28%,46.41%  (  +3.34%),63.24%,"17,409",5,5,5,88
BGC,USA,0,2025-04-29,,,,12.242,12.311,360,48.94%,41.91%  (  -1.40%),44.05%,"13,088",7,4,4,82
MLCO,USA,0,2025-04-29,,,,9.227,12.982,273,34.05%,53.15%  (  +1.21%),25.75%,"63,148",7,4,4,60
IR,USA,0,2025-05-01,,,,5.939,0.000,252,25.15%,32.72%  (  +1.90%),72.02%,"9,662",6,4,5,70
TTEK,USA,0,2025-05-07,,,,5.389,0.000,4,27.67%,40.71%  (  -1.50%),82.90%,"21,853",8,4,4,90
IQV,USA,0,2025-05-01,,,,7.369,0.000,38,27.27%,38.04%  (  +2.45%),89.66%,"5,262",7,5,5,75
EQH,USA,0,2025-04-29,,,,6.620,10.154,4,38.85%,35.71%  (  +1.58%),66.27%,"2,649",8,5,5,85
CIVI,USA,0,2025-05-01,,,,6.953,0.000,57,75.78%,52.15%  (  +2.53%),71.43%,"29,382",7,4,4,75
