SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
PLD,USA,98.22,2025-04-16,36.20,4.78,-16.41%,11.38,4.365,6.949,"10,723",49.60%,43.83%  (  -15.22%),59.15%,"68,641",4,4,4,74
FHN,USA,18.07,2025-04-16,44.57,1.03,-1.08%,1.86,5.189,8.716,854,60.01%,49.36%  (  -18.83%),61.45%,"40,605",7,4,5,70
USB,USA,39.30,2025-04-16,39.87,1.85,-14.53%,1.45,3.938,8.195,"8,341",47.62%,42.21%  (  -20.83%),52.66%,"221,016",4,4,4,82
CFG,USA,37.47,2025-04-16,40.90,2.15,-12.13%,1.32,4.379,8.191,"1,385",56.20%,49.79%  (  -12.20%),67.88%,"66,900",5,4,4,80
TRV,USA,248.10,2025-04-16,44.84,7.77,3.75%,1.21,4.928,6.490,941,34.07%,37.53%  (  -15.13%),60.61%,"14,101",10,4,4,85
KMI,USA,26.25,2025-04-16,42.25,1.06,5.74%,3.87,2.685,6.849,"10,066",36.79%,42.65%  (  -7.73%),79.81%,"540,072",10,4,4,80
CSX,USA,28.66,2025-04-16,43.93,0.97,-13.61%,3.72,3.550,6.533,"3,952",35.06%,32.42%  (  -18.90%),45.92%,"142,438",9,4,5,65
SNV,USA,42.82,2025-04-16,42.64,2.70,-11.66%,1.76,3.398,9.799,656,65.90%,58.02%  (  -18.31%),65.50%,"10,416",4,4,4,75
LVS,USA,33.73,2025-04-16,31.60,1.88,-25.52%,2.11,4.343,8.965,"10,184",51.94%,53.82%  (  -25.04%),55.93%,"289,901",8,4,5,80
PGR,USA,270.11,2025-04-11,48.17,9.76,10.22%,2.10,2.611,5.588,"2,749",39.37%,36.10%  (  -13.97%),54.32%,"47,083",8,5,4,82
KEY,USA,14.52,2025-04-17,40.93,0.85,-13.34%,1.73,4.626,8.995,"6,059",55.32%,53.71%  (  -14.05%),68.60%,"171,425",7,4,4,70
STT,USA,82.32,2025-04-17,40.34,3.97,-8.57%,1.12,5.230,7.787,"1,039",49.94%,50.32%  (  -10.08%),65.19%,"34,061",4,4,4,85
ALLY,USA,33.73,2025-04-17,44.84,1.98,-10.39%,0.63,6.757,9.602,"5,920",54.49%,54.59%  (  -20.74%),59.86%,"113,805",7,4,4,74
HBAN,USA,13.71,2025-04-17,41.20,0.74,-11.19%,1.69,3.546,6.929,"1,825",54.38%,48.85%  (  -7.49%),79.06%,"71,226",8,4,4,80
RF,USA,20.00,2025-04-17,40.94,1.03,-13.30%,1.93,4.331,7.243,"1,643",49.86%,43.93%  (  -17.48%),57.51%,"110,986",6,4,4,78
SCHW,USA,75.25,2025-04-21,47.71,3.34,3.18%,5.40,4.958,8.693,"28,651",45.18%,46.72%  (  -12.28%),67.12%,"472,745",9,5,5,85
TFC,USA,37.99,2025-04-17,40.71,1.88,-12.49%,2.02,3.911,7.112,"14,534",50.77%,45.59%  (  -17.54%),60.09%,"256,059",5,4,4,70
AXP,USA,262.36,2025-04-17,47.94,13.48,-4.54%,2.48,4.644,7.502,"14,581",58.78%,43.54%  (  -23.85%),52.24%,"240,443",6,4,4,85
FITB,USA,35.82,2025-04-17,38.53,1.78,-15.10%,1.72,4.115,7.372,"2,395",46.63%,44.92%  (  -11.07%),62.74%,"72,101",4,4,4,80
BX,USA,137.36,2025-04-17,45.92,8.95,-11.93%,13.44,4.033,8.265,"19,851",65.67%,51.20%  (  -22.80%),54.55%,"318,098",6,4,4,88
WAL,USA,68.54,2025-04-17,40.73,4.90,-16.28%,1.51,6.749,15.446,"5,278",70.78%,61.83%  (  -18.98%),61.57%,"35,014",4,5,5,75
TSM,USA,158.75,2025-04-17,42.37,9.24,-13.96%,9.14,3.013,8.488,"236,401",61.14%,50.92%  (  -22.43%),46.76%,"1,913,968",10,5,5,85
